tx_id,gene_id,gene_name,gene_biotype
FBtr0100854,FBgn0013696,mt:tRNA:Ile-GAT,tRNA
FBtr0300139,FBgn0259839,Su(Ste):CR42408,ncRNA
FBtr0300161,FBgn0259864,Su(Ste):CR42433,ncRNA
FBtr0347034,FBgn0267595,CR45933,pseudogene
FBtr0302352,FBgn0085540,lncRNA:CR40947,ncRNA
FBtr0300167,FBgn0259870,Su(Ste):CR42439,ncRNA
FBtr0100855,FBgn0013703,mt:tRNA:Gln-TTG,tRNA
FBtr0100856,FBgn0013700,mt:tRNA:Met-CAT,tRNA
FBtr0304147,FBgn0085511,lncRNA:CR40719,ncRNA
FBtr0100857,FBgn0013680,mt:ND2,protein_coding
FBtr0300134,FBgn0259837,Su(Ste):CR42406,ncRNA
FBtr0308947,FBgn0085494,Mst77Y-16Psi,pseudogene
FBtr0302344,FBgn0085506,CG40635,protein_coding
FBtr0347035,FBgn0267596,CR45934,pseudogene
FBtr0346692,FBgn0267363,JYalpha,protein_coding
FBtr0300141,FBgn0259842,Su(Ste):CR42411,ncRNA
FBtr0100858,FBgn0013709,mt:tRNA:Trp-TCA,tRNA
FBtr0100859,FBgn0013690,mt:tRNA:Cys-GCA,tRNA
FBtr0100860,FBgn0013710,mt:tRNA:Tyr-GTA,tRNA
FBtr0300105,FBgn0259817,SteXh:CG42398,protein_coding
FBtr0100861,FBgn0013674,mt:CoI,protein_coding
FBtr0300146,FBgn0259849,Su(Ste):CR42418,ncRNA
FBtr0300138,FBgn0259840,Su(Ste):CR42409,ncRNA
FBtr0100862,FBgn0013699,mt:tRNA:Leu-TAA,tRNA
FBtr0100863,FBgn0013675,mt:CoII,protein_coding
FBtr0475054,FBgn0261386,Gpa2,protein_coding
FBtr0100864,FBgn0013697,mt:tRNA:Lys-CTT,tRNA
FBtr0100865,FBgn0013691,mt:tRNA:Asp-GTC,tRNA
FBtr0100866,FBgn0013673,mt:ATPase8,protein_coding
FBtr0433498,FBgn0013672,mt:ATPase6,protein_coding
FBtr0346886,FBgn0267508,28SrRNA-Psi:CR45848,pseudogene
FBtr0100868,FBgn0013676,mt:CoIII,protein_coding
FBtr0100869,FBgn0013694,mt:tRNA:Gly-TCC,tRNA
FBtr0100870,FBgn0013681,mt:ND3,protein_coding
FBtr0333684,FBgn0052011,CR32011,pseudogene
FBtr0100871,FBgn0013689,mt:tRNA:Ala-TGC,tRNA
FBtr0100872,FBgn0013704,mt:tRNA:Arg-TCG,tRNA
FBtr0100873,FBgn0013701,mt:tRNA:Asn-GTT,tRNA
FBtr0100874,FBgn0013705,mt:tRNA:Ser-GCT,tRNA
FBtr0100875,FBgn0013692,mt:tRNA:Glu-TTC,tRNA
FBtr0100876,FBgn0013693,mt:tRNA:Phe-GAA,tRNA
FBtr0089182,FBgn0052011,CR32011,pseudogene
FBtr0433501,FBgn0013684,mt:ND5,protein_coding
FBtr0347010,FBgn0085692,CG41561,protein_coding
