tx_id,gene_id,gene_name,gene_biotype
ENSDART00000000004,ENSDARG00000000001,SLC35A5,protein_coding
ENSDART00000000005,ENSDARG00000000002,ccdc80,protein_coding
ENSDART00000000042,ENSDARG00000033231,MCM6,protein_coding
ENSDART00000000069,ENSDARG00000000068,NHERF1,protein_coding
ENSDART00000000070,ENSDARG00000000069,DAP,protein_coding
ENSDART00000000160,ENSDARG00000000151,THRA,protein_coding
ENSDART00000000192,ENSDARG00000000183,PTPN4,protein_coding
ENSDART00000000198,ENSDARG00000000189,SEMA6C,protein_coding
ENSDART00000000221,ENSDARG00000036830,krt91,protein_coding
ENSDART00000000250,ENSDARG00000000241,SLC40A1,protein_coding
ENSDART00000000280,ENSDARG00000076182,STAT1,protein_coding
ENSDART00000000382,ENSDARG00000000370,triob,protein_coding
ENSDART00000000392,ENSDARG00000000380,PDE6B,protein_coding
ENSDART00000000486,ENSDARG00000000472,cntn2,protein_coding
ENSDART00000000488,ENSDARG00000000474,TNNI1,protein_coding
ENSDART00000000552,ENSDARG00000000529,OFD1,protein_coding
ENSDART00000000564,ENSDARG00000000540,ASNSD1,protein_coding
ENSDART00000000566,ENSDARG00000000542,GTF2E1,protein_coding
ENSDART00000000670,ENSDARG00000000631,PTPN4,protein_coding
ENSDART00000000678,ENSDARG00000000638,opn1mw4,protein_coding
ENSDART00000000693,ENSDARG00000000651,OSGEPL1,protein_coding
ENSDART00000000698,ENSDARG00000000656,PSMB9,protein_coding
ENSDART00000000744,ENSDARG00000000690,SYPL2,protein_coding
ENSDART00000000831,ENSDARG00000000760,ZNF511,protein_coding
ENSDART00000000876,ENSDARG00000000796,NR4A1,protein_coding
ENSDART00000000877,ENSDARG00000044279,opn1mw3,protein_coding
ENSDART00000000887,ENSDARG00000000804,RASSF6,protein_coding
ENSDART00000000948,ENSDARG00000024032,COCH,protein_coding
ENSDART00000000992,ENSDARG00000000887,gtsf1,protein_coding
ENSDART00000001092,ENSDARG00000000966,NCOR2,protein_coding
ENSDART00000001102,ENSDARG00000001414,mctp2a,protein_coding
ENSDART00000001159,ENSDARG00000004115,MGAT4B,protein_coding
ENSDART00000001201,ENSDARG00000001057,BYSL,protein_coding
ENSDART00000001253,ENSDARG00000074425,si:busm1-57f23.1,protein_coding
ENSDART00000001313,ENSDARG00000001154,RIMBP2,protein_coding
ENSDART00000001318,ENSDARG00000033450,NKAPL,protein_coding
ENSDART00000001331,ENSDARG00000001169,hsd17b8,protein_coding
ENSDART00000001359,ENSDARG00000031885,psmb12,protein_coding
ENSDART00000001376,ENSDARG00000001210,arl14ep,protein_coding
ENSDART00000001424,ENSDARG00000001249,PCGF1,protein_coding
ENSDART00000001444,ENSDARG00000001313,g2e3,protein_coding
ENSDART00000001649,ENSDARG00000001431,actn3b,protein_coding
ENSDART00000001678,ENSDARG00000001452,adam8a,protein_coding
ENSDART00000001691,ENSDARG00000001463,tdh2,protein_coding
ENSDART00000001737,ENSDARG00000001498,skap1,protein_coding
ENSDART00000001795,ENSDARG00000001549,SP3,protein_coding
ENSDART00000001803,ENSDARG00000001557,tomm34,protein_coding
ENSDART00000001821,ENSDARG00000001572,prf1.3,protein_coding
ENSDART00000001830,ENSDARG00000001578,ECHS1,protein_coding
ENSDART00000001861,ENSDARG00000000730,slc6a22.1,protein_coding
ENSDART00000001907,ENSDARG00000045051,SLC16A3,protein_coding
ENSDART00000001930,ENSDARG00000001656,psmb13a,protein_coding
ENSDART00000002027,ENSDARG00000001733,GULP1,protein_coding
ENSDART00000002029,ENSDARG00000001734,FKBP8,protein_coding
ENSDART00000002046,ENSDARG00000097008,opn1mw1,protein_coding
ENSDART00000002053,ENSDARG00000000476,PMS1,protein_coding
ENSDART00000002055,ENSDARG00000078760,CACNA2D3,protein_coding
ENSDART00000002075,ENSDARG00000008491,si:ch211-107o10.3,protein_coding
ENSDART00000002078,ENSDARG00000016854,NEUROD2,protein_coding
ENSDART00000002094,ENSDARG00000011326,ankrd45,protein_coding
ENSDART00000002095,ENSDARG00000018956,TMEM39B,protein_coding
ENSDART00000002096,ENSDARG00000013221,pde4ca,protein_coding
ENSDART00000002118,ENSDARG00000040002,PNPLA7,protein_coding
ENSDART00000002128,ENSDARG00000009215,cldn29,protein_coding
ENSDART00000002164,ENSDARG00000008433,UNC45B,protein_coding
ENSDART00000002166,ENSDARG00000043236,CCNA1,protein_coding
ENSDART00000002186,ENSDARG00000006074,UCK2,protein_coding
ENSDART00000002217,ENSDARG00000013134,prph2la,protein_coding
ENSDART00000002221,ENSDARG00000027620,bco2l,protein_coding
ENSDART00000002241,ENSDARG00000019588,chico,protein_coding
ENSDART00000002242,ENSDARG00000095751,C20H6orf58,protein_coding
ENSDART00000002244,ENSDARG00000016855,SF3B5,protein_coding
ENSDART00000002247,ENSDARG00000007812,SP3,protein_coding
ENSDART00000002250,ENSDARG00000012025,HS6ST2,protein_coding
ENSDART00000002279,ENSDARG00000021442,CDH11,protein_coding
ENSDART00000002309,ENSDARG00000017121,MAFB,protein_coding
ENSDART00000002318,ENSDARG00000016783,SRSF6,protein_coding
ENSDART00000002341,ENSDARG00000015955,cldn3d,protein_coding
ENSDART00000002348,ENSDARG00000008306,rdh5,protein_coding
ENSDART00000002384,ENSDARG00000007406,PHOX2A,protein_coding
ENSDART00000002393,ENSDARG00000007245,RUNDC3A,protein_coding
ENSDART00000002398,ENSDARG00000018264,trim101,protein_coding
ENSDART00000002401,ENSDARG00000007764,KLHDC10,protein_coding
ENSDART00000002428,ENSDARG00000011188,ACVR2A,protein_coding
