tx_id,gene_id,gene_name,gene_biotype
ENSGALT00010000002,ENSGALG00010000002,,Mt_tRNA
ENSGALT00010000003,ENSGALG00010000003,,Mt_rRNA
ENSGALT00010000004,ENSGALG00010000004,,Mt_tRNA
ENSGALT00010000005,ENSGALG00010000005,,Mt_rRNA
ENSGALT00010000006,ENSGALG00010000006,,Mt_tRNA
ENSGALT00010000007,ENSGALG00010000007,ND1,protein_coding
ENSGALT00010000008,ENSGALG00010000008,,Mt_tRNA
ENSGALT00010000009,ENSGALG00010000009,,Mt_tRNA
ENSGALT00010000010,ENSGALG00010000010,,Mt_tRNA
ENSGALT00010000011,ENSGALG00010000011,ND2,protein_coding
ENSGALT00010000012,ENSGALG00010000012,,Mt_tRNA
ENSGALT00010000013,ENSGALG00010000013,,Mt_tRNA
ENSGALT00010000014,ENSGALG00010000014,,Mt_tRNA
ENSGALT00010000015,ENSGALG00010000015,,Mt_tRNA
ENSGALT00010000016,ENSGALG00010000016,,Mt_tRNA
ENSGALT00010000017,ENSGALG00010000017,COX1,protein_coding
ENSGALT00010000018,ENSGALG00010000018,,Mt_tRNA
ENSGALT00010000019,ENSGALG00010000019,,Mt_tRNA
ENSGALT00010000020,ENSGALG00010000020,COX2,protein_coding
ENSGALT00010000021,ENSGALG00010000021,,Mt_tRNA
ENSGALT00010000022,ENSGALG00010000022,ATP8,protein_coding
ENSGALT00010000023,ENSGALG00010000023,ATP6,protein_coding
ENSGALT00010000024,ENSGALG00010000024,COX3,protein_coding
ENSGALT00010000025,ENSGALG00010000025,,Mt_tRNA
ENSGALT00010000026,ENSGALG00010000026,ND3,protein_coding
ENSGALT00010000027,ENSGALG00010000027,,Mt_tRNA
ENSGALT00010000028,ENSGALG00010000028,ND4L,protein_coding
ENSGALT00010000029,ENSGALG00010000029,ND4,protein_coding
ENSGALT00010000030,ENSGALG00010000030,,Mt_tRNA
ENSGALT00010000031,ENSGALG00010000031,,Mt_tRNA
ENSGALT00010000032,ENSGALG00010000032,,Mt_tRNA
ENSGALT00010000033,ENSGALG00010000033,ND5,protein_coding
ENSGALT00010000034,ENSGALG00010000034,CYTB,protein_coding
ENSGALT00010000035,ENSGALG00010000035,,Mt_tRNA
ENSGALT00010000036,ENSGALG00010000036,,Mt_tRNA
ENSGALT00010000037,ENSGALG00010000037,ND6,protein_coding
ENSGALT00010000038,ENSGALG00010000038,,Mt_tRNA
ENSGALT00010000039,ENSGALG00010000039,PDIA3,protein_coding
ENSGALT00010000040,ENSGALG00010000039,PDIA3,protein_coding
ENSGALT00010000041,ENSGALG00010000039,PDIA3,protein_coding
ENSGALT00010000042,ENSGALG00010000040,,protein_coding
ENSGALT00010000043,ENSGALG00010000041,,protein_coding
ENSGALT00010000044,ENSGALG00010000042,CKMT1B,protein_coding
ENSGALT00010000045,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000046,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000047,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000048,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000049,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000050,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000051,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000052,ENSGALG00010000043,PPIP5K1,protein_coding
ENSGALT00010000053,ENSGALG00010000044,MAP1A,protein_coding
ENSGALT00010000054,ENSGALG00010000044,MAP1A,protein_coding
ENSGALT00010000055,ENSGALG00010000044,MAP1A,protein_coding
ENSGALT00010000056,ENSGALG00010000044,MAP1A,protein_coding
