tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000000007,ENSXETG00000018683,,protein_coding
ENSXETT00000000014,ENSXETG00000000009,art1,protein_coding
ENSXETT00000000018,ENSXETG00000000013,NFKB2,protein_coding
ENSXETT00000000026,ENSXETG00000000020,MBOAT1,protein_coding
ENSXETT00000000028,ENSXETG00000000021,E2F3,protein_coding
ENSXETT00000000030,ENSXETG00000000022,CDKAL1,protein_coding
ENSXETT00000000036,ENSXETG00000000026,DDX25,protein_coding
ENSXETT00000000039,ENSXETG00000000029,CDON,protein_coding
ENSXETT00000000049,ENSXETG00000000035,mdm4,protein_coding
ENSXETT00000000050,ENSXETG00000000036,ech1,protein_coding
ENSXETT00000000051,ENSXETG00000000037,HNRNPL,protein_coding
ENSXETT00000000056,ENSXETG00000000038,arf6,protein_coding
ENSXETT00000000057,ENSXETG00000000039,lgals4.2,protein_coding
ENSXETT00000000063,ENSXETG00000011409,actn3,protein_coding
ENSXETT00000000070,ENSXETG00000000042,dnajc28,protein_coding
ENSXETT00000000071,ENSXETG00000000043,TMEM50B,protein_coding
ENSXETT00000000072,ENSXETG00000000044,ifngr2.1,protein_coding
ENSXETT00000000073,ENSXETG00000026950,ifngr2.2,protein_coding
ENSXETT00000000075,ENSXETG00000006423,ifnar2.1,protein_coding
ENSXETT00000000077,ENSXETG00000000048,pla2g4d,protein_coding
ENSXETT00000000083,ENSXETG00000000051,MGA,protein_coding
ENSXETT00000000087,ENSXETG00000000053,tmem151b,protein_coding
ENSXETT00000000090,ENSXETG00000000055,ltk,protein_coding
ENSXETT00000000093,ENSXETG00000000056,snap23,protein_coding
ENSXETT00000000095,ENSXETG00000000057,acot2,protein_coding
ENSXETT00000000098,ENSXETG00000000060,lrrc57,protein_coding
ENSXETT00000000099,ENSXETG00000000061,dnal1,protein_coding
ENSXETT00000000100,ENSXETG00000000062,mideas,protein_coding
ENSXETT00000000106,ENSXETG00000027064,,protein_coding
ENSXETT00000000109,ENSXETG00000000063,tmprss2.12,protein_coding
ENSXETT00000000113,ENSXETG00000000066,C1orf159,protein_coding
ENSXETT00000000115,ENSXETG00000000067,RIPK4,protein_coding
ENSXETT00000000120,ENSXETG00000000068,PRDM15,protein_coding
ENSXETT00000000131,ENSXETG00000000070,rad54l2,protein_coding
ENSXETT00000000133,ENSXETG00000000071,dcaf1,protein_coding
ENSXETT00000000136,ENSXETG00000000072,RBM15B,protein_coding
ENSXETT00000000137,ENSXETG00000000073,MANF,protein_coding
ENSXETT00000000139,ENSXETG00000000074,DOCK3,protein_coding
ENSXETT00000000141,ENSXETG00000000076,MAPKAPK3,protein_coding
ENSXETT00000000144,ENSXETG00000038770,HEMK1,protein_coding
ENSXETT00000000146,ENSXETG00000000081,CACNA2D2,protein_coding
ENSXETT00000000147,ENSXETG00000000082,TMEM115,protein_coding
ENSXETT00000000149,ENSXETG00000000083,nprl2,protein_coding
ENSXETT00000000153,ENSXETG00000000087,PARP3,protein_coding
ENSXETT00000000158,ENSXETG00000000089,acy1.1,protein_coding
