tx_id,gene_id,gene_name,gene_biotype
ETS1-1_rRNA,ETS1-1,,rRNA
ETS1-2_rRNA,ETS1-2,,rRNA
ETS2-1_rRNA,ETS2-1,,rRNA
ETS2-2_rRNA,ETS2-2,,rRNA
HRA1_ncRNA,HRA1,,ncRNA
ICR1_ncRNA,ICR1,,ncRNA
IRT1_ncRNA,IRT1,,ncRNA
ITS1-1_rRNA,ITS1-1,,rRNA
ITS1-2_rRNA,ITS1-2,,rRNA
ITS2-1_rRNA,ITS2-1,,rRNA
ITS2-2_rRNA,ITS2-2,,rRNA
LSR1_snRNA,LSR1,,snRNA
NME1_snoRNA,NME1,,snoRNA
PWR1_ncRNA,PWR1,,ncRNA
Q0010_mRNA,Q0010,,protein_coding
Q0017_mRNA,Q0017,,protein_coding
Q0020_rRNA,Q0020,15S_RRNA,rRNA
Q0032_mRNA,Q0032,,protein_coding
Q0045_mRNA,Q0045,COX1,protein_coding
Q0050_mRNA,Q0050,AI1,protein_coding
Q0055_mRNA,Q0055,AI2,protein_coding
Q0060_mRNA,Q0060,AI3,protein_coding
Q0065_mRNA,Q0065,AI4,protein_coding
Q0070_mRNA,Q0070,AI5_ALPHA,protein_coding
Q0075_mRNA,Q0075,AI5_BETA,protein_coding
Q0080_mRNA,Q0080,ATP8,protein_coding
Q0085_mRNA,Q0085,ATP6,protein_coding
Q0092_mRNA,Q0092,,protein_coding
Q0105_mRNA,Q0105,COB,protein_coding
Q0110_mRNA,Q0110,BI2,protein_coding
Q0115_mRNA,Q0115,BI3,protein_coding
Q0120_mRNA,Q0120,BI4,protein_coding
Q0130_mRNA,Q0130,OLI1,protein_coding
Q0140_mRNA,Q0140,VAR1,protein_coding
Q0142_mRNA,Q0142,,protein_coding
Q0143_mRNA,Q0143,,protein_coding
Q0144_mRNA,Q0144,,protein_coding
Q0158_rRNA,Q0158,21S_RRNA,rRNA
Q0160_mRNA,Q0160,SCEI,protein_coding
Q0182_mRNA,Q0182,,protein_coding
Q0250_mRNA,Q0250,COX2,protein_coding
Q0255_mRNA,Q0255,,protein_coding
Q0275_mRNA,Q0275,COX3,protein_coding
Q0285_ncRNA,Q0285,RPM1,ncRNA
Q0297_mRNA,Q0297,,protein_coding
RDN18-1_rRNA,RDN18-1,,rRNA
RDN18-2_rRNA,RDN18-2,,rRNA
RDN25-1_rRNA,RDN25-1,,rRNA
RDN25-2_rRNA,RDN25-2,,rRNA
RDN37-1_rRNA,RDN37-1,,rRNA
RDN37-2_rRNA,RDN37-2,,rRNA
RDN5-1_rRNA,RDN5-1,,rRNA
RDN5-2_rRNA,RDN5-2,,rRNA
RDN5-3_rRNA,RDN5-3,,rRNA
RDN5-4_rRNA,RDN5-4,,rRNA
RDN5-5_rRNA,RDN5-5,,rRNA
RDN5-6_rRNA,RDN5-6,,rRNA
RDN58-1_rRNA,RDN58-1,,rRNA
RDN58-2_rRNA,RDN58-2,,rRNA
RME2_ncRNA,RME2,,ncRNA
RME3_ncRNA,RME3,,ncRNA
RNA170_ncRNA,RNA170,,ncRNA
RPR1_ncRNA,RPR1,,ncRNA
RUF20_ncRNA,RUF20,,ncRNA
RUF21_ncRNA,RUF21,,ncRNA
RUF22_ncRNA,RUF22,,ncRNA
RUF23_ncRNA,RUF23,,ncRNA
RUF5-1_ncRNA,RUF5-1,,ncRNA
RUF5-2_ncRNA,RUF5-2,,ncRNA
SCR1_ncRNA,SCR1,,ncRNA
SRG1_ncRNA,SRG1,,ncRNA
YAL001C_mRNA,YAL001C,TFC3,protein_coding
YAL002W_mRNA,YAL002W,VPS8,protein_coding
YAL003W_mRNA,YAL003W,EFB1,protein_coding
YAL004W_mRNA,YAL004W,,protein_coding
YAL005C_mRNA,YAL005C,SSA1,protein_coding
YAL007C_mRNA,YAL007C,ERP2,protein_coding
YAL008W_mRNA,YAL008W,FUN14,protein_coding
YAL009W_mRNA,YAL009W,SPO7,protein_coding
YAL010C_mRNA,YAL010C,MDM10,protein_coding
YAL011W_mRNA,YAL011W,SWC3,protein_coding
YAL012W_mRNA,YAL012W,CYS3,protein_coding
YAL013W_mRNA,YAL013W,DEP1,protein_coding
YAL014C_mRNA,YAL014C,SYN8,protein_coding
YAL015C_mRNA,YAL015C,NTG1,protein_coding
YAL016C-A_mRNA,YAL016C-A,,protein_coding
YAL016C-B_mRNA,YAL016C-B,,protein_coding
YAL016W_mRNA,YAL016W,TPD3,protein_coding
YAL017W_mRNA,YAL017W,PSK1,protein_coding
YAL018C_mRNA,YAL018C,LDS1,protein_coding
YAL019W-A_mRNA,YAL019W-A,,protein_coding
YAL019W_mRNA,YAL019W,FUN30,protein_coding
YAL020C_mRNA,YAL020C,ATS1,protein_coding
YAL021C_mRNA,YAL021C,CCR4,protein_coding
YAL022C_mRNA,YAL022C,FUN26,protein_coding
YAL023C_mRNA,YAL023C,PMT2,protein_coding
YAL024C_mRNA,YAL024C,LTE1,protein_coding
YAL025C_mRNA,YAL025C,MAK16,protein_coding
YAL026C-A_mRNA,YAL026C-A,,protein_coding
YAL026C_mRNA,YAL026C,DRS2,protein_coding
YAL027W_mRNA,YAL027W,SAW1,protein_coding
YAL028W_mRNA,YAL028W,FRT2,protein_coding
YAL029C_mRNA,YAL029C,MYO4,protein_coding
YAL030W_mRNA,YAL030W,SNC1,protein_coding
YAL031C_mRNA,YAL031C,GIP4,protein_coding
YAL031W-A_mRNA,YAL031W-A,,protein_coding
YAL032C_mRNA,YAL032C,PRP45,protein_coding
YAL033W_mRNA,YAL033W,POP5,protein_coding
YAL034C-B_mRNA,YAL034C-B,,protein_coding
YAL034C_mRNA,YAL034C,FUN19,protein_coding
YAL034W-A_mRNA,YAL034W-A,MTW1,protein_coding
YAL035W_mRNA,YAL035W,FUN12,protein_coding
YAL036C_mRNA,YAL036C,RBG1,protein_coding
YAL037C-A_mRNA,YAL037C-A,,protein_coding
YAL037C-B_mRNA,YAL037C-B,,protein_coding
YAL037W_mRNA,YAL037W,,protein_coding
YAL038W_mRNA,YAL038W,CDC19,protein_coding
YAL039C_mRNA,YAL039C,CYC3,protein_coding
YAL040C_mRNA,YAL040C,CLN3,protein_coding
YAL041W_mRNA,YAL041W,CDC24,protein_coding
YAL042C-A_mRNA,YAL042C-A,,protein_coding
YAL042W_mRNA,YAL042W,ERV46,protein_coding
YAL043C_mRNA,YAL043C,PTA1,protein_coding
YAL044C_mRNA,YAL044C,GCV3,protein_coding
YAL044W-A_mRNA,YAL044W-A,BOL1,protein_coding
YAL045C_mRNA,YAL045C,,protein_coding
YAL046C_mRNA,YAL046C,BOL3,protein_coding
YAL047C_mRNA,YAL047C,SPC72,protein_coding
YAL047W-A_mRNA,YAL047W-A,,protein_coding
YAL048C_mRNA,YAL048C,GEM1,protein_coding
YAL049C_mRNA,YAL049C,AIM2,protein_coding
YAL051W_mRNA,YAL051W,OAF1,protein_coding
YAL053W_mRNA,YAL053W,FLC2,protein_coding
YAL054C_mRNA,YAL054C,ACS1,protein_coding
YAL055W_mRNA,YAL055W,PEX22,protein_coding
YAL056C-A_mRNA,YAL056C-A,,protein_coding
YAL056W_mRNA,YAL056W,GPB2,protein_coding
YAL058W_mRNA,YAL058W,CNE1,protein_coding
YAL059C-A_mRNA,YAL059C-A,,protein_coding
YAL059W_mRNA,YAL059W,ECM1,protein_coding
YAL060W_mRNA,YAL060W,BDH1,protein_coding
YAL061W_mRNA,YAL061W,BDH2,protein_coding
YAL062W_mRNA,YAL062W,GDH3,protein_coding
YAL063C-A_mRNA,YAL063C-A,,protein_coding
YAL063C_mRNA,YAL063C,FLO9,protein_coding
YAL064C-A_mRNA,YAL064C-A,TDA8,protein_coding
YAL064W-B_mRNA,YAL064W-B,,protein_coding
YAL064W_mRNA,YAL064W,,protein_coding
YAL065C_mRNA,YAL065C,,protein_coding
YAL066W_mRNA,YAL066W,,protein_coding
YAL067C_mRNA,YAL067C,SEO1,protein_coding
YAL067W-A_mRNA,YAL067W-A,,protein_coding
YAL068C_mRNA,YAL068C,PAU8,protein_coding
YAL068W-A_mRNA,YAL068W-A,,protein_coding
YAL069W_mRNA,YAL069W,,protein_coding
YAR002C-A_mRNA,YAR002C-A,ERP1,protein_coding
YAR002W_mRNA,YAR002W,NUP60,protein_coding
YAR003W_mRNA,YAR003W,SWD1,protein_coding
YAR007C_mRNA,YAR007C,RFA1,protein_coding
YAR008W_mRNA,YAR008W,SEN34,protein_coding
YAR009C,YAR009C,,transposable_element
YAR010C,YAR010C,,transposable_element
YAR014C_mRNA,YAR014C,BUD14,protein_coding
YAR015W_mRNA,YAR015W,ADE1,protein_coding
YAR018C_mRNA,YAR018C,KIN3,protein_coding
YAR019C_mRNA,YAR019C,CDC15,protein_coding
YAR019W-A_mRNA,YAR019W-A,,protein_coding
YAR020C_mRNA,YAR020C,PAU7,protein_coding
YAR023C_mRNA,YAR023C,,protein_coding
YAR027W_mRNA,YAR027W,UIP3,protein_coding
YAR028W_mRNA,YAR028W,,protein_coding
YAR029W_mRNA,YAR029W,,protein_coding
YAR030C_mRNA,YAR030C,,protein_coding
YAR031W_mRNA,YAR031W,PRM9,protein_coding
YAR033W_mRNA,YAR033W,MST28,protein_coding
YAR035C-A_mRNA,YAR035C-A,,protein_coding
YAR035W_mRNA,YAR035W,YAT1,protein_coding
YAR042W_mRNA,YAR042W,SWH1,protein_coding
YAR047C_mRNA,YAR047C,,protein_coding
YAR050W_mRNA,YAR050W,FLO1,protein_coding
YAR053W_mRNA,YAR053W,,protein_coding
YAR060C_mRNA,YAR060C,,protein_coding
YAR061W,YAR061W,,pseudogene
YAR064W_mRNA,YAR064W,,protein_coding
YAR066W_mRNA,YAR066W,,protein_coding
YAR068W_mRNA,YAR068W,,protein_coding
YAR069C_mRNA,YAR069C,,protein_coding
YAR070C_mRNA,YAR070C,,protein_coding
YAR071W_mRNA,YAR071W,PHO11,protein_coding
YAR073W_mRNA,YAR073W,IMD1,protein_coding
YAR075W_mRNA,YAR075W,,protein_coding
YBL001C_mRNA,YBL001C,ECM15,protein_coding
YBL002W_mRNA,YBL002W,HTB2,protein_coding
YBL003C_mRNA,YBL003C,HTA2,protein_coding
YBL004W_mRNA,YBL004W,UTP20,protein_coding
YBL005W-A,YBL005W-A,,transposable_element
YBL005W-B,YBL005W-B,,transposable_element
YBL005W_mRNA,YBL005W,PDR3,protein_coding
YBL006C_mRNA,YBL006C,LDB7,protein_coding
YBL006W-A_mRNA,YBL006W-A,,protein_coding
YBL007C_mRNA,YBL007C,SLA1,protein_coding
YBL008W-A_mRNA,YBL008W-A,,protein_coding
YBL008W_mRNA,YBL008W,HIR1,protein_coding
YBL009W_mRNA,YBL009W,ALK2,protein_coding
YBL010C_mRNA,YBL010C,,protein_coding
YBL011W_mRNA,YBL011W,SCT1,protein_coding
YBL012C_mRNA,YBL012C,,protein_coding
YBL013W_mRNA,YBL013W,FMT1,protein_coding
YBL014C_mRNA,YBL014C,RRN6,protein_coding
YBL015W_mRNA,YBL015W,ACH1,protein_coding
YBL016W_mRNA,YBL016W,FUS3,protein_coding
YBL017C_mRNA,YBL017C,PEP1,protein_coding
YBL018C_mRNA,YBL018C,POP8,protein_coding
YBL019W_mRNA,YBL019W,APN2,protein_coding
YBL020W_mRNA,YBL020W,RFT1,protein_coding
YBL021C_mRNA,YBL021C,HAP3,protein_coding
YBL022C_mRNA,YBL022C,PIM1,protein_coding
YBL023C_mRNA,YBL023C,MCM2,protein_coding
YBL024W_mRNA,YBL024W,NCL1,protein_coding
YBL025W_mRNA,YBL025W,RRN10,protein_coding
YBL026W_mRNA,YBL026W,LSM2,protein_coding
YBL027W_mRNA,YBL027W,RPL19B,protein_coding
YBL028C_mRNA,YBL028C,,protein_coding
YBL029C-A_mRNA,YBL029C-A,,protein_coding
