qseqid,sseqid,gene_id,gene_name,is_intron,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_biotype
id_33,ENSG00000144867,ENSG00000144867,NA,I7,95.652,23,1,0,1,23,2627,2649,0.44,38.2,NA
id_33,ENSG00000257986,ENSG00000257986,NA,I9,100,18,0,0,8,25,207610,207627,1.7,36.2,NA
id_33,ENSG00000241956,ENSG00000241956,NA,I6,100,18,0,0,10,27,74690,74707,1.7,36.2,NA
id_33,ENSG00000241956,ENSG00000241956,NA,I5,100,18,0,0,10,27,78092,78109,1.7,36.2,NA
id_33,ENSG00000241956,ENSG00000241956,NA,I4,100,18,0,0,10,27,78092,78109,1.7,36.2,NA
id_33,ENSG00000241956,ENSG00000241956,NA,I3,100,18,0,0,10,27,78092,78109,1.7,36.2,NA
id_33,ENSG00000241956,ENSG00000241956,NA,I2,100,18,0,0,10,27,135120,135137,1.7,36.2,NA
id_33,ENSG00000236869,ENSG00000236869,NA,I1,100,18,0,0,12,29,19067,19084,1.7,36.2,NA
id_33,ENSG00000068912,ENSG00000068912,NA,I2,100,18,0,0,11,28,403,420,1.7,36.2,NA
id_33,ENSG00000068912,ENSG00000068912,NA,I1,100,18,0,0,11,28,403,420,1.7,36.2,NA
id_33,ENSG00000133019,ENSG00000133019,NA,I13,100,18,0,0,10,27,84676,84693,1.7,36.2,NA
id_33,ENSG00000133019,ENSG00000133019,NA,I12,100,18,0,0,10,27,85431,85448,1.7,36.2,NA
id_33,ENSG00000133019,ENSG00000133019,NA,I11,100,18,0,0,10,27,126042,126059,1.7,36.2,NA
id_33,ENSG00000185008,ENSG00000185008,NA,I5,100,18,0,0,2,19,215888,215871,1.7,36.2,NA
id_33,ENSG00000088538,ENSG00000088538,NA,I5,100,18,0,0,5,22,99075,99058,1.7,36.2,NA
id_33,ENSG00000186448,ENSG00000186448,NA,I11,100,18,0,0,12,29,9676,9659,1.7,36.2,NA
id_33,ENSG00000115239,ENSG00000115239,NA,I31,100,18,0,0,11,28,72133,72116,1.7,36.2,NA
id_33,ENSG00000115239,ENSG00000115239,NA,I30,100,18,0,0,11,28,32448,32431,1.7,36.2,NA
id_33,ENSG00000115239,ENSG00000115239,NA,I17,100,18,0,0,11,28,72133,72116,1.7,36.2,NA
id_33,ENST00000649052,ENSG00000285633,AL132633.1,NA,100,18,0,0,8,25,2573,2556,1.7,36.2,lncRNA
id_33,ENST00000627845,ENSG00000281709,ZNF197,NA,100,18,0,0,12,29,1272,1255,1.7,36.2,protein_coding
id_33,ENST00000628172,ENSG00000281709,ZNF197,NA,100,18,0,0,12,29,1294,1277,1.7,36.2,protein_coding
id_33,ENST00000396058,ENSG00000186448,ZNF197,NA,100,18,0,0,12,29,1272,1255,1.7,36.2,protein_coding
id_33,ENST00000344387,ENSG00000186448,ZNF197,NA,100,18,0,0,12,29,1294,1277,1.7,36.2,protein_coding
id_33,ENSG00000198597,ENSG00000198597,NA,I7,100,17,0,0,13,29,35910,35926,6.8,34.2,NA
id_33,ENSG00000198597,ENSG00000198597,NA,I6,100,17,0,0,13,29,55982,55998,6.8,34.2,NA
id_33,ENSG00000131044,ENSG00000131044,NA,I13,100,17,0,0,8,24,3082,3098,6.8,34.2,NA
id_33,ENSG00000131044,ENSG00000131044,NA,I12,100,17,0,0,8,24,3082,3098,6.8,34.2,NA
id_33,ENSG00000083457,ENSG00000083457,NA,I16,100,17,0,0,8,24,2498,2514,6.8,34.2,NA
id_33,ENSG00000083457,ENSG00000083457,NA,I15,100,17,0,0,8,24,1554,1570,6.8,34.2,NA
id_33,ENSG00000225249,ENSG00000225249,NA,I18,92,25,2,0,14,38,27997,28021,6.8,34.2,NA
id_33,ENSG00000225249,ENSG00000225249,NA,I9,92,25,2,0,14,38,133031,133055,6.8,34.2,NA
id_33,ENSG00000146938,ENSG00000146938,NA,I8,100,17,0,0,9,25,105438,105454,6.8,34.2,NA
id_33,ENSG00000146938,ENSG00000146938,NA,I7,100,17,0,0,9,25,105438,105454,6.8,34.2,NA
id_33,ENSG00000164418,ENSG00000164418,NA,I6,100,17,0,0,13,29,24232,24248,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I9,100,17,0,0,2,18,38696,38712,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I8,100,17,0,0,2,18,39013,39029,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I6,100,17,0,0,2,18,50931,50947,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I5,100,17,0,0,2,18,50931,50947,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I4,100,17,0,0,2,18,50931,50947,6.8,34.2,NA
id_33,ENSG00000248461,ENSG00000248461,NA,I3,100,17,0,0,2,18,50931,50947,6.8,34.2,NA
id_33,ENSG00000237125,ENSG00000237125,NA,I5,95.238,21,1,0,7,27,101397,101417,6.8,34.2,NA
id_33,ENSG00000114439,ENSG00000114439,NA,I49,100,17,0,0,7,23,2611,2627,6.8,34.2,NA
id_33,ENSG00000236977,ENSG00000236977,NA,I1,100,17,0,0,11,27,23150,23166,6.8,34.2,NA
id_33,ENSG00000065413,ENSG00000065413,NA,I35,100,17,0,0,11,27,37970,37986,6.8,34.2,NA
id_33,ENSG00000065413,ENSG00000065413,NA,I34,100,17,0,0,11,27,37423,37439,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I39,100,17,0,0,10,26,1051,1035,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I38,100,17,0,0,10,26,422,406,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I37,100,17,0,0,10,26,1051,1035,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I36,100,17,0,0,10,26,1051,1035,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I35,100,17,0,0,10,26,422,406,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I34,100,17,0,0,10,26,1051,1035,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I33,100,17,0,0,10,26,565,549,6.8,34.2,NA
id_33,ENSG00000140199,ENSG00000140199,NA,I32,100,17,0,0,10,26,422,406,6.8,34.2,NA
id_33,ENSG00000227128,ENSG00000227128,NA,I5,100,17,0,0,8,24,7904,7888,6.8,34.2,NA
id_33,ENSG00000078114,ENSG00000078114,NA,I3,95.238,21,1,0,11,31,9020,9000,6.8,34.2,NA
id_33,ENSG00000078114,ENSG00000078114,NA,I2,95.238,21,1,0,11,31,4761,4741,6.8,34.2,NA
id_33,ENSG00000003096,ENSG00000003096,NA,I14,100,17,0,0,7,23,29718,29702,6.8,34.2,NA
id_33,ENSG00000003096,ENSG00000003096,NA,I13,100,17,0,0,7,23,28949,28933,6.8,34.2,NA
