query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_137,FBtr0073420,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,756,807,3300,4.61e-22,103,52,protein_coding
id_137,FBtr0305150,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1655,1706,4220,4.61e-22,103,52,protein_coding
id_137,FBtr0305149,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,903,954,3468,4.61e-22,103,52,protein_coding
id_137,FBtr0073415,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1481,1532,5684,4.61e-22,103,52,protein_coding
id_137,FBtr0301409,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1377,1428,3942,4.61e-22,103,52,protein_coding
id_137,FBtr0073416,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1016,1067,8752,4.61e-22,103,52,protein_coding
id_137,FBtr0073414,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1373,1424,12045,4.61e-22,103,52,protein_coding
id_137,FBtr0073413,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1377,1428,4481,4.61e-22,103,52,protein_coding
id_137,FBtr0346315,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1259,1310,3824,4.61e-22,103,52,protein_coding
id_137,FBtr0073418,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,729,780,6762,4.61e-22,103,52,protein_coding
id_137,FBtr0073419,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,535,586,2863,4.61e-22,103,52,protein_coding
id_137,FBtr0073417,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1167,1218,3711,4.61e-22,103,52,protein_coding
id_137,FBgn0033196,FBgn0033196,NA,I8,100,17,17,0,0,0,17,100,35,51,52,33,33,2209,2225,2504,0.35,34.2,17,NA
id_137,FBgn0264895,FBgn0264895,NA,I4,100,16,16,0,0,0,16,100,28,43,52,31,31,519,534,34829,1.4,32.2,16,NA
id_137,FBtr0085320,FBgn0026400,Noa36,NA,100,16,16,0,0,0,16,100,33,48,52,31,31,346,361,1138,1.4,32.2,16,protein_coding
id_137,FBgn0261836,FBgn0261836,NA,I11,100,16,16,0,0,0,16,100,14,29,52,31,31,3693,3678,12381,1.4,32.2,16,NA
id_137,FBtr0075695,FBgn0036454,CG17839,NA,100,16,16,0,0,0,16,100,26,41,52,31,31,3726,3711,5991,1.4,32.2,16,protein_coding
id_137,FBtr0303385,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,10779,10764,39327,1.4,32.2,16,protein_coding
id_137,FBtr0332404,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,9365,9350,36093,1.4,32.2,16,protein_coding
id_137,FBtr0303383,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,10477,10462,25760,1.4,32.2,16,protein_coding
id_137,FBtr0332405,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,10779,10764,39216,1.4,32.2,16,protein_coding
id_137,FBtr0303388,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,9365,9350,37913,1.4,32.2,16,protein_coding
id_137,FBtr0303389,FBgn0261836,Msp300,NA,100,16,16,0,0,0,16,100,14,29,52,31,31,9365,9350,36339,1.4,32.2,16,protein_coding
id_139,FBtr0073420,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,758,809,3300,4.61e-22,103,52,protein_coding
id_139,FBtr0305150,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1657,1708,4220,4.61e-22,103,52,protein_coding
id_139,FBtr0305149,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,905,956,3468,4.61e-22,103,52,protein_coding
id_139,FBtr0073415,FBgn0285926,Imp,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,1483,1534,5684,4.61e-22,103,52,protein_coding
