qseqid,sseqid,gene_id,gene_name,is_intron,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_biotype
id_78,FBtr0306533,FBgn0035533,Cip4,NA,100,52,0,0,1,52,347,398,4.61e-22,103,protein_coding
id_78,FBtr0306096,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0333571,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0308201,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0333570,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0073339,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0306095,FBgn0035533,Cip4,NA,100,52,0,0,1,52,573,624,4.61e-22,103,protein_coding
id_78,FBtr0306094,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0113138,FBgn0035533,Cip4,NA,100,52,0,0,1,52,573,624,4.61e-22,103,protein_coding
id_78,FBtr0306534,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBtr0308202,FBgn0035533,Cip4,NA,100,52,0,0,1,52,461,512,4.61e-22,103,protein_coding
id_78,FBgn0035533,FBgn0035533,NA,I12,100,24,0,0,29,52,1,24,2.36e-5,48.1,NA
id_78,FBtr0343145,FBgn0028421,Kap3,NA,95.455,22,1,0,1,22,2241,2262,0.09,36.2,protein_coding
id_78,FBtr0343146,FBgn0028421,Kap3,NA,95.455,22,1,0,1,22,2244,2265,0.09,36.2,protein_coding
id_78,FBtr0289954,FBgn0028421,Kap3,NA,95.455,22,1,0,1,22,1904,1925,0.09,36.2,protein_coding
id_78,FBtr0289956,FBgn0028421,Kap3,NA,95.455,22,1,0,1,22,2413,2434,0.09,36.2,protein_coding
id_78,FBtr0289955,FBgn0028421,Kap3,NA,95.455,22,1,0,1,22,2244,2265,0.09,36.2,protein_coding
id_78,FBtr0301099,FBgn0260658,CG42541,NA,95.238,21,1,0,2,22,5134,5114,0.35,34.2,protein_coding
id_78,FBtr0332389,FBgn0260658,CG42541,NA,95.238,21,1,0,2,22,5077,5057,0.35,34.2,protein_coding
id_78,FBtr0301100,FBgn0260658,CG42541,NA,95.238,21,1,0,2,22,5131,5111,0.35,34.2,protein_coding
id_78,FBtr0332388,FBgn0260658,CG42541,NA,95.238,21,1,0,2,22,5131,5111,0.35,34.2,protein_coding
id_78,FBtr0302510,FBgn0036728,UQCR-Q,NA,100,17,0,0,35,51,133,149,0.35,34.2,protein_coding
id_78,FBtr0075222,FBgn0036728,UQCR-Q,NA,100,17,0,0,35,51,162,178,0.35,34.2,protein_coding
id_78,FBtr0088588,FBgn0262515,VhaAC45,NA,100,17,0,0,1,17,1109,1125,0.35,34.2,protein_coding
id_78,FBtr0088587,FBgn0262515,VhaAC45,NA,100,17,0,0,1,17,1021,1037,0.35,34.2,protein_coding
id_78,FBtr0072420,FBgn0035076,Ance-5,NA,100,16,0,0,1,16,459,444,1.4,32.2,protein_coding
id_78,FBtr0343437,FBgn0034990,CG11406,NA,100,16,0,0,5,20,4113,4128,1.4,32.2,protein_coding
id_78,FBtr0072276,FBgn0034990,CG11406,NA,100,16,0,0,5,20,1050,1065,1.4,32.2,protein_coding
id_78,FBtr0100169,FBgn0034990,CG11406,NA,100,16,0,0,5,20,972,987,1.4,32.2,protein_coding
id_78,FBtr0300874,FBgn0034990,CG11406,NA,100,16,0,0,5,20,4041,4056,1.4,32.2,protein_coding
id_78,FBtr0336651,FBgn0265045,Strn-Mlck,NA,100,16,0,0,6,21,7268,7283,1.4,32.2,protein_coding
id_78,FBtr0336652,FBgn0265045,Strn-Mlck,NA,100,16,0,0,6,21,7268,7283,1.4,32.2,protein_coding
id_78,FBtr0336649,FBgn0265045,Strn-Mlck,NA,100,16,0,0,6,21,6900,6915,1.4,32.2,protein_coding
id_78,FBtr0336650,FBgn0265045,Strn-Mlck,NA,100,16,0,0,6,21,6900,6915,1.4,32.2,protein_coding
id_79,FBtr0306533,FBgn0035533,Cip4,NA,100,52,0,0,1,52,348,399,4.61e-22,103,protein_coding
id_79,FBtr0306096,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0333571,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0308201,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0333570,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0073339,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0306095,FBgn0035533,Cip4,NA,100,52,0,0,1,52,574,625,4.61e-22,103,protein_coding
id_79,FBtr0306094,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0113138,FBgn0035533,Cip4,NA,100,52,0,0,1,52,574,625,4.61e-22,103,protein_coding
id_79,FBtr0306534,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBtr0308202,FBgn0035533,Cip4,NA,100,52,0,0,1,52,462,513,4.61e-22,103,protein_coding
id_79,FBgn0035533,FBgn0035533,NA,I12,100,25,0,0,28,52,1,25,5.97e-6,50.1,NA
id_79,FBtr0301099,FBgn0260658,CG42541,NA,95.238,21,1,0,1,21,5134,5114,0.35,34.2,protein_coding
id_79,FBtr0332389,FBgn0260658,CG42541,NA,95.238,21,1,0,1,21,5077,5057,0.35,34.2,protein_coding
id_79,FBtr0301100,FBgn0260658,CG42541,NA,95.238,21,1,0,1,21,5131,5111,0.35,34.2,protein_coding
id_79,FBtr0332388,FBgn0260658,CG42541,NA,95.238,21,1,0,1,21,5131,5111,0.35,34.2,protein_coding
id_79,FBtr0302510,FBgn0036728,UQCR-Q,NA,100,17,0,0,34,50,133,149,0.35,34.2,protein_coding
id_79,FBtr0075222,FBgn0036728,UQCR-Q,NA,100,17,0,0,34,50,162,178,0.35,34.2,protein_coding
id_79,FBtr0343145,FBgn0028421,Kap3,NA,95.238,21,1,0,1,21,2242,2262,0.35,34.2,protein_coding
id_79,FBtr0343146,FBgn0028421,Kap3,NA,95.238,21,1,0,1,21,2245,2265,0.35,34.2,protein_coding
id_79,FBtr0289954,FBgn0028421,Kap3,NA,95.238,21,1,0,1,21,1905,1925,0.35,34.2,protein_coding
