qseqid,sseqid,gene_id,gene_name,is_intron,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_biotype
id_137,FBtr0073420,FBgn0285926,Imp,NA,100,52,0,0,1,52,756,807,4.61e-22,103,protein_coding
id_137,FBtr0305150,FBgn0285926,Imp,NA,100,52,0,0,1,52,1655,1706,4.61e-22,103,protein_coding
id_137,FBtr0305149,FBgn0285926,Imp,NA,100,52,0,0,1,52,903,954,4.61e-22,103,protein_coding
id_137,FBtr0073415,FBgn0285926,Imp,NA,100,52,0,0,1,52,1481,1532,4.61e-22,103,protein_coding
id_137,FBtr0301409,FBgn0285926,Imp,NA,100,52,0,0,1,52,1377,1428,4.61e-22,103,protein_coding
id_137,FBtr0073416,FBgn0285926,Imp,NA,100,52,0,0,1,52,1016,1067,4.61e-22,103,protein_coding
id_137,FBtr0073414,FBgn0285926,Imp,NA,100,52,0,0,1,52,1373,1424,4.61e-22,103,protein_coding
id_137,FBtr0073413,FBgn0285926,Imp,NA,100,52,0,0,1,52,1377,1428,4.61e-22,103,protein_coding
id_137,FBtr0346315,FBgn0285926,Imp,NA,100,52,0,0,1,52,1259,1310,4.61e-22,103,protein_coding
id_137,FBtr0073418,FBgn0285926,Imp,NA,100,52,0,0,1,52,729,780,4.61e-22,103,protein_coding
id_137,FBtr0073419,FBgn0285926,Imp,NA,100,52,0,0,1,52,535,586,4.61e-22,103,protein_coding
id_137,FBtr0073417,FBgn0285926,Imp,NA,100,52,0,0,1,52,1167,1218,4.61e-22,103,protein_coding
id_137,FBgn0033196,FBgn0033196,NA,I8,100,17,0,0,35,51,2209,2225,0.35,34.2,NA
id_137,FBgn0264895,FBgn0264895,NA,I4,100,16,0,0,28,43,519,534,1.4,32.2,NA
id_137,FBtr0085320,FBgn0026400,Noa36,NA,100,16,0,0,33,48,346,361,1.4,32.2,protein_coding
id_137,FBgn0261836,FBgn0261836,NA,I11,100,16,0,0,14,29,3693,3678,1.4,32.2,NA
id_137,FBtr0075695,FBgn0036454,CG17839,NA,100,16,0,0,26,41,3726,3711,1.4,32.2,protein_coding
id_137,FBtr0303385,FBgn0261836,Msp300,NA,100,16,0,0,14,29,10779,10764,1.4,32.2,protein_coding
id_137,FBtr0332404,FBgn0261836,Msp300,NA,100,16,0,0,14,29,9365,9350,1.4,32.2,protein_coding
id_137,FBtr0303383,FBgn0261836,Msp300,NA,100,16,0,0,14,29,10477,10462,1.4,32.2,protein_coding
id_137,FBtr0332405,FBgn0261836,Msp300,NA,100,16,0,0,14,29,10779,10764,1.4,32.2,protein_coding
id_137,FBtr0303388,FBgn0261836,Msp300,NA,100,16,0,0,14,29,9365,9350,1.4,32.2,protein_coding
id_137,FBtr0303389,FBgn0261836,Msp300,NA,100,16,0,0,14,29,9365,9350,1.4,32.2,protein_coding
id_139,FBtr0073420,FBgn0285926,Imp,NA,100,52,0,0,1,52,758,809,4.61e-22,103,protein_coding
id_139,FBtr0305150,FBgn0285926,Imp,NA,100,52,0,0,1,52,1657,1708,4.61e-22,103,protein_coding
id_139,FBtr0305149,FBgn0285926,Imp,NA,100,52,0,0,1,52,905,956,4.61e-22,103,protein_coding
id_139,FBtr0073415,FBgn0285926,Imp,NA,100,52,0,0,1,52,1483,1534,4.61e-22,103,protein_coding
id_139,FBtr0301409,FBgn0285926,Imp,NA,100,52,0,0,1,52,1379,1430,4.61e-22,103,protein_coding
id_139,FBtr0073416,FBgn0285926,Imp,NA,100,52,0,0,1,52,1018,1069,4.61e-22,103,protein_coding
id_139,FBtr0073414,FBgn0285926,Imp,NA,100,52,0,0,1,52,1375,1426,4.61e-22,103,protein_coding
id_139,FBtr0073413,FBgn0285926,Imp,NA,100,52,0,0,1,52,1379,1430,4.61e-22,103,protein_coding
id_139,FBtr0346315,FBgn0285926,Imp,NA,100,52,0,0,1,52,1261,1312,4.61e-22,103,protein_coding
id_139,FBtr0073418,FBgn0285926,Imp,NA,100,52,0,0,1,52,731,782,4.61e-22,103,protein_coding
id_139,FBtr0073419,FBgn0285926,Imp,NA,100,52,0,0,1,52,537,588,4.61e-22,103,protein_coding
id_139,FBtr0073417,FBgn0285926,Imp,NA,100,52,0,0,1,52,1169,1220,4.61e-22,103,protein_coding
id_139,FBgn0033196,FBgn0033196,NA,I8,100,17,0,0,33,49,2209,2225,0.35,34.2,NA
id_139,FBgn0264895,FBgn0264895,NA,I4,100,16,0,0,26,41,519,534,1.4,32.2,NA
id_139,FBtr0336928,FBgn0034883,Eglp2,NA,95,20,1,0,32,51,540,559,1.4,32.2,protein_coding
id_139,FBtr0072107,FBgn0034883,Eglp2,NA,95,20,1,0,32,51,397,416,1.4,32.2,protein_coding
id_139,FBtr0085320,FBgn0026400,Noa36,NA,100,16,0,0,31,46,346,361,1.4,32.2,protein_coding
id_139,FBgn0261836,FBgn0261836,NA,I11,100,16,0,0,12,27,3693,3678,1.4,32.2,NA
id_139,FBtr0075695,FBgn0036454,CG17839,NA,100,16,0,0,24,39,3726,3711,1.4,32.2,protein_coding
id_139,FBtr0303385,FBgn0261836,Msp300,NA,100,16,0,0,12,27,10779,10764,1.4,32.2,protein_coding
id_139,FBtr0332404,FBgn0261836,Msp300,NA,100,16,0,0,12,27,9365,9350,1.4,32.2,protein_coding
id_139,FBtr0303383,FBgn0261836,Msp300,NA,100,16,0,0,12,27,10477,10462,1.4,32.2,protein_coding
id_139,FBtr0332405,FBgn0261836,Msp300,NA,100,16,0,0,12,27,10779,10764,1.4,32.2,protein_coding
id_139,FBtr0303388,FBgn0261836,Msp300,NA,100,16,0,0,12,27,9365,9350,1.4,32.2,protein_coding
id_139,FBtr0303389,FBgn0261836,Msp300,NA,100,16,0,0,12,27,9365,9350,1.4,32.2,protein_coding
