query_id,subject_id,gene_id,gene_name,is_intron,perc_identity,num_ident_matches,alig_length,mismatches,gap_openings,n_gaps,pos_match,ppos,q_start,q_end,q_len,qcov,qcovhsp,s_start,s_end,s_len,evalue,bit_score,score_raw,gene_biotype
id_78,FBtr0306533,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,347,398,2414,4.61e-22,103,52,protein_coding
id_78,FBtr0306096,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,2504,4.61e-22,103,52,protein_coding
id_78,FBtr0333571,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,3504,4.61e-22,103,52,protein_coding
id_78,FBtr0308201,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,3422,4.61e-22,103,52,protein_coding
id_78,FBtr0333570,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,3477,4.61e-22,103,52,protein_coding
id_78,FBtr0073339,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,2525,4.61e-22,103,52,protein_coding
id_78,FBtr0306095,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,573,624,2580,4.61e-22,103,52,protein_coding
id_78,FBtr0306094,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,2468,4.61e-22,103,52,protein_coding
id_78,FBtr0113138,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,573,624,2637,4.61e-22,103,52,protein_coding
id_78,FBtr0306534,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,3507,4.61e-22,103,52,protein_coding
id_78,FBtr0308202,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,461,512,3359,4.61e-22,103,52,protein_coding
id_78,FBgn0035533,FBgn0035533,NA,I12,100,24,24,0,0,0,24,100,29,52,52,46,46,1,24,150,2.36e-5,48.1,24,NA
id_78,FBtr0343145,FBgn0028421,Kap3,NA,95.455,21,22,1,0,0,21,95.45,1,22,52,42,42,2241,2262,3777,0.09,36.2,18,protein_coding
id_78,FBtr0343146,FBgn0028421,Kap3,NA,95.455,21,22,1,0,0,21,95.45,1,22,52,42,42,2244,2265,3768,0.09,36.2,18,protein_coding
id_78,FBtr0289954,FBgn0028421,Kap3,NA,95.455,21,22,1,0,0,21,95.45,1,22,52,42,42,1904,1925,3440,0.09,36.2,18,protein_coding
id_78,FBtr0289956,FBgn0028421,Kap3,NA,95.455,21,22,1,0,0,21,95.45,1,22,52,42,42,2413,2434,3949,0.09,36.2,18,protein_coding
id_78,FBtr0289955,FBgn0028421,Kap3,NA,95.455,21,22,1,0,0,21,95.45,1,22,52,42,42,2244,2265,3780,0.09,36.2,18,protein_coding
id_78,FBtr0301099,FBgn0260658,CG42541,NA,95.238,20,21,1,0,0,20,95.24,2,22,52,40,40,5134,5114,6157,0.35,34.2,17,protein_coding
id_78,FBtr0332389,FBgn0260658,CG42541,NA,95.238,20,21,1,0,0,20,95.24,2,22,52,40,40,5077,5057,8763,0.35,34.2,17,protein_coding
id_78,FBtr0301100,FBgn0260658,CG42541,NA,95.238,20,21,1,0,0,20,95.24,2,22,52,40,40,5131,5111,8817,0.35,34.2,17,protein_coding
id_78,FBtr0332388,FBgn0260658,CG42541,NA,95.238,20,21,1,0,0,20,95.24,2,22,52,40,40,5131,5111,9704,0.35,34.2,17,protein_coding
id_78,FBtr0302510,FBgn0036728,UQCR-Q,NA,100,17,17,0,0,0,17,100,35,51,52,33,33,133,149,625,0.35,34.2,17,protein_coding
id_78,FBtr0075222,FBgn0036728,UQCR-Q,NA,100,17,17,0,0,0,17,100,35,51,52,33,33,162,178,654,0.35,34.2,17,protein_coding
id_78,FBtr0088588,FBgn0262515,VhaAC45,NA,100,17,17,0,0,0,17,100,1,17,52,33,33,1109,1125,1894,0.35,34.2,17,protein_coding
id_78,FBtr0088587,FBgn0262515,VhaAC45,NA,100,17,17,0,0,0,17,100,1,17,52,33,33,1021,1037,1925,0.35,34.2,17,protein_coding
id_78,FBtr0072420,FBgn0035076,Ance-5,NA,100,16,16,0,0,0,16,100,1,16,52,31,31,459,444,2116,1.4,32.2,16,protein_coding
id_78,FBtr0343437,FBgn0034990,CG11406,NA,100,16,16,0,0,0,16,100,5,20,52,31,31,4113,4128,4502,1.4,32.2,16,protein_coding
id_78,FBtr0072276,FBgn0034990,CG11406,NA,100,16,16,0,0,0,16,100,5,20,52,31,31,1050,1065,1439,1.4,32.2,16,protein_coding
id_78,FBtr0100169,FBgn0034990,CG11406,NA,100,16,16,0,0,0,16,100,5,20,52,31,31,972,987,1361,1.4,32.2,16,protein_coding
id_78,FBtr0300874,FBgn0034990,CG11406,NA,100,16,16,0,0,0,16,100,5,20,52,31,31,4041,4056,4430,1.4,32.2,16,protein_coding
id_78,FBtr0336651,FBgn0265045,Strn-Mlck,NA,100,16,16,0,0,0,16,100,6,21,52,31,31,7268,7283,25666,1.4,32.2,16,protein_coding
id_78,FBtr0336652,FBgn0265045,Strn-Mlck,NA,100,16,16,0,0,0,16,100,6,21,52,31,31,7268,7283,24960,1.4,32.2,16,protein_coding
id_78,FBtr0336649,FBgn0265045,Strn-Mlck,NA,100,16,16,0,0,0,16,100,6,21,52,31,31,6900,6915,25298,1.4,32.2,16,protein_coding
id_78,FBtr0336650,FBgn0265045,Strn-Mlck,NA,100,16,16,0,0,0,16,100,6,21,52,31,31,6900,6915,24592,1.4,32.2,16,protein_coding
id_79,FBtr0306533,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,348,399,2414,4.61e-22,103,52,protein_coding
id_79,FBtr0306096,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,462,513,2504,4.61e-22,103,52,protein_coding
id_79,FBtr0333571,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,462,513,3504,4.61e-22,103,52,protein_coding
id_79,FBtr0308201,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,462,513,3422,4.61e-22,103,52,protein_coding
id_79,FBtr0333570,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,462,513,3477,4.61e-22,103,52,protein_coding
id_79,FBtr0073339,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,462,513,2525,4.61e-22,103,52,protein_coding
id_79,FBtr0306095,FBgn0035533,Cip4,NA,100,52,52,0,0,0,52,100,1,52,52,100,100,574,625,2580,4.61e-22,103,52,protein_coding
